Unnamed: 0,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
130.0,Algeria,"Rice, paddy",1996,17861.0,89.0,479.77,16.76
131.0,Algeria,Sorghum,1996,14750.0,89.0,479.77,16.76
132.0,Algeria,Wheat,1996,13090.0,89.0,479.77,16.76
133.0,Algeria,Maize,1997,21417.0,89.0,401.22,17.84
134.0,Algeria,Potatoes,1997,141042.0,89.0,401.22,17.84
135.0,Algeria,"Rice, paddy",1997,15000.0,89.0,401.22,17.84
136.0,Algeria,Sorghum,1997,40000.0,89.0,401.22,17.84
137.0,Algeria,Wheat,1997,8016.0,89.0,401.22,17.84
138.0,Algeria,Maize,1998,17222.0,89.0,322.84,17.14
139.0,Algeria,Potatoes,1998,160256.0,89.0,322.84,17.14
140.0,Algeria,"Rice, paddy",1998,15000.0,89.0,322.84,17.14
141.0,Algeria,Sorghum,1998,24500.0,89.0,322.84,17.14
142.0,Algeria,Wheat,1998,8847.0,89.0,322.84,17.14
143.0,Algeria,Maize,1999,22375.0,89.0,654.45,17.97
144.0,Algeria,Potatoes,1999,153532.0,89.0,654.45,17.97
145.0,Algeria,"Rice, paddy",1999,13942.0,89.0,654.45,17.97
146.0,Algeria,Sorghum,1999,27000.0,89.0,654.45,17.97
147.0,Algeria,Wheat,1999,10711.0,89.0,654.45,17.97
148.0,Algeria,Maize,2000,36186.0,89.0,603.67,17.9
149.0,Algeria,Potatoes,2000,166143.0,89.0,603.67,17.9
150.0,Algeria,"Rice, paddy",2000,13052.0,89.0,603.67,17.9
151.0,Algeria,Sorghum,2000,69500.0,89.0,603.67,17.9
152.0,Algeria,Wheat,2000,9194.0,89.0,603.67,17.9
153.0,Algeria,Maize,2001,27175.0,89.0,710.11,18.13
154.0,Algeria,Potatoes,2001,147018.0,89.0,710.11,18.13
155.0,Algeria,"Rice, paddy",2001,12314.0,89.0,710.11,18.13
156.0,Algeria,Sorghum,2001,27750.0,89.0,710.11,18.13
157.0,Algeria,Wheat,2001,11104.0,89.0,710.11,18.13
158.0,Algeria,Maize,2002,33480.0,89.0,816.55,17.85
159.0,Algeria,Potatoes,2002,183774.0,89.0,816.55,17.85
160.0,Algeria,"Rice, paddy",2002,12959.0,89.0,816.55,17.85
161.0,Algeria,Sorghum,2002,33900.0,89.0,816.55,17.85
162.0,Algeria,Wheat,2002,10739.0,89.0,816.55,17.85
163.0,Algeria,Maize,2004,31729.0,89.0,3747.86,17.38
164.0,Algeria,Potatoes,2004,203585.0,89.0,3747.86,17.38
165.0,Algeria,"Rice, paddy",2004,12829.0,89.0,3747.86,17.38
166.0,Algeria,Sorghum,2004,43316.0,89.0,3747.86,17.38
167.0,Algeria,Wheat,2004,13582.0,89.0,3747.86,17.38
168.0,Algeria,Maize,2005,33864.0,89.0,3662.87,17.19
169.0,Algeria,Potatoes,2005,216267.0,89.0,3662.87,17.19
170.0,Algeria,"Rice, paddy",2005,12998.0,89.0,3662.87,17.19
171.0,Algeria,Sorghum,2005,33486.0,89.0,3662.87,17.19
172.0,Algeria,Wheat,2005,15057.0,89.0,3662.87,17.19
173.0,Algeria,Maize,2006,65668.0,89.0,4110.72,18.13
174.0,Algeria,Potatoes,2006,220689.0,89.0,4110.72,18.13
175.0,Algeria,"Rice, paddy",2006,12769.0,89.0,4110.72,18.13
176.0,Algeria,Sorghum,2006,56728.0,89.0,4110.72,18.13
177.0,Algeria,Wheat,2006,15068.0,89.0,4110.72,18.13
178.0,Algeria,Maize,2007,85625.0,89.0,5390.79,17.42
179.0,Algeria,Potatoes,2007,189927.0,89.0,5390.79,17.42
180.0,Algeria,"Rice, paddy",2007,13375.0,89.0,5390.79,17.42
181.0,Algeria,Sorghum,2007,119059.0,89.0,5390.79,17.42
182.0,Algeria,Wheat,2007,12742.0,89.0,5390.79,17.42
183.0,Algeria,Maize,2008,44714.0,89.0,11556.12,17.55
184.0,Algeria,Potatoes,2008,236393.0,89.0,11556.12,17.55
185.0,Algeria,"Rice, paddy",2008,13952.0,89.0,11556.12,17.55
186.0,Algeria,Sorghum,2008,61786.0,89.0,11556.12,17.55
187.0,Algeria,Wheat,2008,11038.0,89.0,11556.12,17.55
188.0,Algeria,Maize,2009,30914.0,89.0,3867.99,17.78
189.0,Algeria,Potatoes,2009,250764.0,89.0,3867.99,17.78
190.0,Algeria,"Rice, paddy",2009,14594.0,89.0,3867.99,17.78
191.0,Algeria,Sorghum,2009,90465.0,89.0,3867.99,17.78
192.0,Algeria,Wheat,2009,15975.0,89.0,3867.99,17.78
193.0,Algeria,Maize,2010,25827.0,89.0,1295.88,17.59
194.0,Algeria,Potatoes,2010,270526.0,89.0,1295.88,17.59
195.0,Algeria,"Rice, paddy",2010,15305.0,89.0,1295.88,17.59
196.0,Algeria,Sorghum,2010,30286.0,89.0,1295.88,17.59
197.0,Algeria,Wheat,2010,14838.0,89.0,1295.88,17.59
198.0,Algeria,Maize,2011,23374.0,89.0,13861.76,17.79
199.0,Algeria,Potatoes,2011,292806.0,89.0,13861.76,17.79
200.0,Algeria,"Rice, paddy",2011,16081.0,89.0,13861.76,17.79
201.0,Algeria,Sorghum,2011,100000.0,89.0,13861.76,17.79
202.0,Algeria,Wheat,2011,17405.0,89.0,13861.76,17.79
203.0,Algeria,Maize,2012,25583.0,89.0,17379.76,17.91
204.0,Algeria,Potatoes,2012,304291.0,89.0,17379.76,17.91
205.0,Algeria,"Rice, paddy",2012,16667.0,89.0,17379.76,17.91
206.0,Algeria,Sorghum,2012,206000.0,89.0,17379.76,17.91
207.0,Algeria,Wheat,2012,17639.0,89.0,17379.76,17.91
208.0,Algeria,Maize,2013,33649.0,89.0,17278.65,17.65
209.0,Algeria,Potatoes,2013,303218.0,89.0,17278.65,17.65
210.0,Algeria,"Rice, paddy",2013,17778.0,89.0,17278.65,17.65
211.0,Algeria,Sorghum,2013,60000.0,89.0,17278.65,17.65
212.0,Algeria,Wheat,2013,19100.0,89.0,17278.65,17.65
213.0,Angola,Cassava,1990,41177.0,1010.0,64.0,24.12
214.0,Angola,Maize,1990,2736.0,1010.0,64.0,24.12
215.0,Angola,Potatoes,1990,40000.0,1010.0,64.0,24.12
216.0,Angola,"Rice, paddy",1990,9512.0,1010.0,64.0,24.12
217.0,Angola,Sweet potatoes,1990,89342.0,1010.0,64.0,24.12
218.0,Angola,Wheat,1990,7995.0,1010.0,64.0,24.12
219.0,Angola,Cassava,1991,40295.0,1010.0,79.0,24.02
220.0,Angola,Maize,1991,4013.0,1010.0,79.0,24.02
221.0,Angola,Potatoes,1991,40000.0,1010.0,79.0,24.02
222.0,Angola,"Rice, paddy",1991,10000.0,1010.0,79.0,24.02
223.0,Angola,Sweet potatoes,1991,83001.0,1010.0,79.0,24.02
224.0,Angola,Wheat,1991,8000.0,1010.0,79.0,24.02
225.0,Angola,Cassava,1992,42295.0,1010.0,23.0,23.96
226.0,Angola,Maize,1992,3778.0,1010.0,23.0,23.96
227.0,Angola,Potatoes,1992,40000.0,1010.0,23.0,23.96
228.0,Angola,"Rice, paddy",1992,9106.0,1010.0,23.0,23.96
229.0,Angola,Sweet potatoes,1992,90000.0,1010.0,23.0,23.96
230.0,Angola,Wheat,1992,8000.0,1010.0,23.0,23.96
231.0,Angola,Cassava,1993,42295.0,1010.0,169.0,24.15
232.0,Angola,Maize,1993,2627.0,1010.0,169.0,24.15
233.0,Angola,Potatoes,1993,70000.0,1010.0,169.0,24.15
234.0,Angola,"Rice, paddy",1993,8000.0,1010.0,169.0,24.15
235.0,Angola,Sweet potatoes,1993,88095.0,1010.0,169.0,24.15
236.0,Angola,Wheat,1993,8876.0,1010.0,169.0,24.15
237.0,Angola,Cassava,1994,58596.0,1010.0,25.5,24.04
238.0,Angola,Maize,1994,2463.0,1010.0,25.5,24.04
239.0,Angola,Potatoes,1994,90000.0,1010.0,25.5,24.04
240.0,Angola,"Rice, paddy",1994,8750.0,1010.0,25.5,24.04
241.0,Angola,Sweet potatoes,1994,83192.0,1010.0,25.5,24.04
242.0,Angola,Wheat,1994,10000.0,1010.0,25.5,24.04
243.0,Angola,Cassava,1995,51000.0,1010.0,336.0,24.56
244.0,Angola,Maize,1995,3517.0,1010.0,336.0,24.56
245.0,Angola,Potatoes,1995,76738.0,1010.0,336.0,24.56
246.0,Angola,"Rice, paddy",1995,14615.0,1010.0,336.0,24.56
247.0,Angola,Sweet potatoes,1995,81138.0,1010.0,336.0,24.56
248.0,Angola,Wheat,1995,11855.0,1010.0,336.0,24.56
249.0,Angola,Cassava,1996,48077.0,1010.0,40.0,24.11
250.0,Angola,Maize,1996,6993.0,1010.0,40.0,24.11
251.0,Angola,Potatoes,1996,70000.0,1010.0,40.0,24.11
252.0,Angola,"Rice, paddy",1996,17500.0,1010.0,40.0,24.11
253.0,Angola,Sweet potatoes,1996,85455.0,1010.0,40.0,24.11
254.0,Angola,Wheat,1996,13738.0,1010.0,40.0,24.11
255.0,Angola,Cassava,1997,44205.0,1010.0,40.0,24.06
256.0,Angola,Maize,1997,5959.0,1010.0,40.0,24.06
257.0,Angola,Potatoes,1997,68571.0,1010.0,40.0,24.06
258.0,Angola,"Rice, paddy",1997,20000.0,1010.0,40.0,24.06
259.0,Angola,Sweet potatoes,1997,78098.0,1010.0,40.0,24.06
260.0,Angola,Wheat,1997,15509.0,1010.0,40.0,24.06
261.0,Angola,Cassava,1998,55728.0,1010.0,40.0,24.96
262.0,Angola,Maize,1998,7396.0,1010.0,40.0,24.96
263.0,Angola,Potatoes,1998,62724.0,1010.0,40.0,24.96
264.0,Angola,"Rice, paddy",1998,20000.0,1010.0,40.0,24.96
265.0,Angola,Sweet potatoes,1998,76256.0,1010.0,40.0,24.96
266.0,Angola,Wheat,1998,17143.0,1010.0,40.0,24.96
267.0,Angola,Cassava,1999,59821.0,1010.0,40.0,24.37
268.0,Angola,Maize,1999,6361.0,1010.0,40.0,24.37
269.0,Angola,Potatoes,1999,54597.0,1010.0,40.0,24.37
270.0,Angola,"Rice, paddy",1999,14235.0,1010.0,40.0,24.37
271.0,Angola,Sweet potatoes,1999,82865.0,1010.0,40.0,24.37
272.0,Angola,Wheat,1999,17391.0,1010.0,40.0,24.37
273.0,Angola,Cassava,2000,82992.0,1010.0,40.0,24.41
274.0,Angola,Maize,2000,5745.0,1010.0,40.0,24.41
275.0,Angola,Potatoes,2000,29885.0,1010.0,40.0,24.41
276.0,Angola,"Rice, paddy",2000,13454.0,1010.0,40.0,24.41
277.0,Angola,Sorghum,2000,3333.0,1010.0,40.0,24.41
278.0,Angola,Soybeans,2000,2333.0,1010.0,40.0,24.41
279.0,Angola,Sweet potatoes,2000,34938.0,1010.0,40.0,24.41
280.0,Angola,Wheat,2000,17023.0,1010.0,40.0,24.41
281.0,Angola,Cassava,2001,94072.0,1010.0,40.0,24.43
282.0,Angola,Maize,2001,5754.0,1010.0,40.0,24.43
283.0,Angola,Potatoes,2001,42552.0,1010.0,40.0,24.43
284.0,Angola,"Rice, paddy",2001,13701.0,1010.0,40.0,24.43
285.0,Angola,Sorghum,2001,3571.0,1010.0,40.0,24.43
286.0,Angola,Soybeans,2001,2500.0,1010.0,40.0,24.43
287.0,Angola,Sweet potatoes,2001,44458.0,1010.0,40.0,24.43
288.0,Angola,Wheat,2001,16667.0,1010.0,40.0,24.43
289.0,Angola,Cassava,2002,110071.0,1010.0,40.0,24.79
290.0,Angola,Maize,2002,6706.0,1010.0,40.0,24.79
291.0,Angola,Potatoes,2002,42754.0,1010.0,40.0,24.79
292.0,Angola,"Rice, paddy",2002,13198.0,1010.0,40.0,24.79
293.0,Angola,Sorghum,2002,3400.0,1010.0,40.0,24.79
294.0,Angola,Soybeans,2002,2857.0,1010.0,40.0,24.79
295.0,Angola,Sweet potatoes,2002,42190.0,1010.0,40.0,24.79
296.0,Angola,Wheat,2002,15455.0,1010.0,40.0,24.79
297.0,Angola,Cassava,2004,125605.0,1010.0,40.0,24.22
298.0,Angola,Maize,2004,5404.0,1010.0,40.0,24.22
299.0,Angola,Potatoes,2004,20150.0,1010.0,40.0,24.22
300.0,Angola,"Rice, paddy",2004,11584.0,1010.0,40.0,24.22
301.0,Angola,Sorghum,2004,3333.0,1010.0,40.0,24.22
302.0,Angola,Soybeans,2004,3600.0,1010.0,40.0,24.22
303.0,Angola,Sweet potatoes,2004,45360.0,1010.0,40.0,24.22
304.0,Angola,Wheat,2004,12442.0,1010.0,40.0,24.22
305.0,Angola,Cassava,2005,117628.0,1010.0,40.0,24.41
306.0,Angola,Maize,2005,6736.0,1010.0,40.0,24.41
307.0,Angola,Potatoes,2005,23646.0,1010.0,40.0,24.41
308.0,Angola,"Rice, paddy",2005,6977.0,1010.0,40.0,24.41
309.0,Angola,Sorghum,2005,3333.0,1010.0,40.0,24.41
310.0,Angola,Soybeans,2005,3793.0,1010.0,40.0,24.41
311.0,Angola,Sweet potatoes,2005,46159.0,1010.0,40.0,24.41
312.0,Angola,Wheat,2005,10946.0,1010.0,40.0,24.41
313.0,Angola,Cassava,2006,117201.0,1010.0,40.0,24.14
314.0,Angola,Maize,2006,4687.0,1010.0,40.0,24.14
315.0,Angola,Potatoes,2006,52148.0,1010.0,40.0,24.14
316.0,Angola,"Rice, paddy",2006,4947.0,1010.0,40.0,24.14
317.0,Angola,Sorghum,2006,4091.0,1010.0,40.0,24.14
318.0,Angola,Soybeans,2006,4286.0,1010.0,40.0,24.14
319.0,Angola,Sweet potatoes,2006,44240.0,1010.0,40.0,24.14
320.0,Angola,Wheat,2006,10000.0,1010.0,40.0,24.14
321.0,Angola,Cassava,2007,115387.0,1010.0,40.0,24.24
322.0,Angola,Maize,2007,5091.0,1010.0,40.0,24.24
323.0,Angola,Potatoes,2007,62138.0,1010.0,40.0,24.24
324.0,Angola,"Rice, paddy",2007,5143.0,1010.0,40.0,24.24
325.0,Angola,Sorghum,2007,4031.0,1010.0,40.0,24.24
326.0,Angola,Soybeans,2007,6883.0,1010.0,40.0,24.24
327.0,Angola,Sweet potatoes,2007,58855.0,1010.0,40.0,24.24
328.0,Angola,Wheat,2007,10000.0,1010.0,40.0,24.24
329.0,Angola,Cassava,2008,148084.0,1010.0,40.0,24.27
330.0,Angola,Maize,2008,7946.0,1010.0,40.0,24.27
331.0,Angola,Potatoes,2008,85085.0,1010.0,40.0,24.27
332.0,Angola,"Rice, paddy",2008,5084.0,1010.0,40.0,24.27
333.0,Angola,Sorghum,2008,929.0,1010.0,40.0,24.27
334.0,Angola,Soybeans,2008,8575.0,1010.0,40.0,24.27
335.0,Angola,Sweet potatoes,2008,65437.0,1010.0,40.0,24.27
336.0,Angola,Wheat,2008,10000.0,1010.0,40.0,24.27
337.0,Angola,Cassava,2009,151759.0,1010.0,40.0,24.33
338.0,Angola,Maize,2009,6614.0,1010.0,40.0,24.33
339.0,Angola,Potatoes,2009,86509.0,1010.0,40.0,24.33
340.0,Angola,"Rice, paddy",2009,6028.0,1010.0,40.0,24.33
341.0,Angola,Sorghum,2009,2480.0,1010.0,40.0,24.33
342.0,Angola,Soybeans,2009,4449.0,1010.0,40.0,24.33
343.0,Angola,Sweet potatoes,2009,66475.0,1010.0,40.0,24.33
344.0,Angola,Wheat,2009,10000.0,1010.0,40.0,24.33
345.0,Angola,Cassava,2010,155782.0,1010.0,40.0,24.44
346.0,Angola,Maize,2010,7200.0,1010.0,40.0,24.44
347.0,Angola,Potatoes,2010,87425.0,1010.0,40.0,24.44
348.0,Angola,"Rice, paddy",2010,7403.0,1010.0,40.0,24.44
349.0,Angola,Sorghum,2010,2814.0,1010.0,40.0,24.44
350.0,Angola,Soybeans,2010,4446.0,1010.0,40.0,24.44
351.0,Angola,Sweet potatoes,2010,63001.0,1010.0,40.0,24.44
352.0,Angola,Wheat,2010,10526.0,1010.0,40.0,24.44
353.0,Angola,Cassava,2011,133649.0,1010.0,40.0,24.15
354.0,Angola,Maize,2011,7376.0,1010.0,40.0,24.15
355.0,Angola,Potatoes,2011,81366.0,1010.0,40.0,24.15
356.0,Angola,"Rice, paddy",2011,8914.0,1010.0,40.0,24.15
357.0,Angola,Sorghum,2011,3320.0,1010.0,40.0,24.15
358.0,Angola,Soybeans,2011,5294.0,1010.0,40.0,24.15
359.0,Angola,Sweet potatoes,2011,65512.0,1010.0,40.0,24.15
360.0,Angola,Wheat,2011,10959.0,1010.0,40.0,24.15
361.0,Angola,Cassava,2012,100073.0,1010.0,40.0,24.24
362.0,Angola,Maize,2012,7770.0,1010.0,40.0,24.24
363.0,Angola,Potatoes,2012,69381.0,1010.0,40.0,24.24
364.0,Angola,"Rice, paddy",2012,7703.0,1010.0,40.0,24.24
365.0,Angola,Sorghum,2012,998.0,1010.0,40.0,24.24
366.0,Angola,Soybeans,2012,1641.0,1010.0,40.0,24.24
367.0,Angola,Sweet potatoes,2012,52954.0,1010.0,40.0,24.24
368.0,Angola,Wheat,2012,11258.0,1010.0,40.0,24.24
369.0,Angola,Cassava,2013,140517.0,1010.0,40.0,24.55
370.0,Angola,Maize,2013,9467.0,1010.0,40.0,24.55
371.0,Angola,Potatoes,2013,63303.0,1010.0,40.0,24.55
372.0,Angola,"Rice, paddy",2013,12744.0,1010.0,40.0,24.55
373.0,Angola,Sorghum,2013,2415.0,1010.0,40.0,24.55
374.0,Angola,Soybeans,2013,4405.0,1010.0,40.0,24.55
375.0,Angola,Sweet potatoes,2013,73409.0,1010.0,40.0,24.55
376.0,Angola,Wheat,2013,9022.0,1010.0,40.0,24.55
377.0,Argentina,Cassava,1990,100000.0,591.0,26156.0,17.46
378.0,Argentina,Cassava,1990,100000.0,591.0,26156.0,17.67
379.0,Argentina,Maize,1990,34608.0,591.0,26156.0,17.46
380.0,Argentina,Maize,1990,34608.0,591.0,26156.0,17.67
381.0,Argentina,Potatoes,1990,202747.0,591.0,26156.0,17.46
382.0,Argentina,Potatoes,1990,202747.0,591.0,26156.0,17.67
383.0,Argentina,"Rice, paddy",1990,36709.0,591.0,26156.0,17.46
384.0,Argentina,"Rice, paddy",1990,36709.0,591.0,26156.0,17.67
385.0,Argentina,Sorghum,1990,28116.0,591.0,26156.0,17.46
386.0,Argentina,Sorghum,1990,28116.0,591.0,26156.0,17.67
387.0,Argentina,Soybeans,1990,21566.0,591.0,26156.0,17.46
388.0,Argentina,Soybeans,1990,21566.0,591.0,26156.0,17.67
389.0,Argentina,Sweet potatoes,1990,131864.0,591.0,26156.0,17.46
390.0,Argentina,Sweet potatoes,1990,131864.0,591.0,26156.0,17.67
391.0,Argentina,Wheat,1990,18947.0,591.0,26156.0,17.46
392.0,Argentina,Wheat,1990,18947.0,591.0,26156.0,17.67
